Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Sure's Seed Round,https://www.crunchbase.com/funding-round/42a9cb50738eed775a232a2cdccd2fa0,Sure,https://www.crunchbase.com/organization/sure-inc,Seed,"$2,600,000",05/12/2016,3,
RiskMatch's Seed Round,https://www.crunchbase.com/funding-round/9b27ed0e5eb02e4be4858392b50eae96,RiskMatch,https://www.crunchbase.com/organization/riskmatch,Seed,"$3,000,000",08/16/2016,3,
Pristine's Seed Round,https://www.crunchbase.com/funding-round/07cc72101584d9f95b97f32f20809e29,Pristine,https://www.crunchbase.com/organization/pristine-io,Seed,,10/15/2013,2,
advisorCONNECT's Convertible Note,https://www.crunchbase.com/funding-round/c8d03adb50e48d634c0bee4eafc8941a,advisorCONNECT,https://www.crunchbase.com/organization/advisorconnect,Convertible Note,"$550,000",06/02/2015,3,
Simplesurance GmbH's Seed Round,https://www.crunchbase.com/funding-round/9ace6ccc5ef3850ebc595aff212b5dd5,Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,Seed,,05/01/2012,3,
Cover's Seed Round,https://www.crunchbase.com/funding-round/d6b5ff7c3ae1e9a2287a29ac8f1f6d07,Cover,https://www.crunchbase.com/organization/cover-5,Seed,"$120,000",11/21/2015,3,
Slice Labs' Seed Round,https://www.crunchbase.com/funding-round/5919b66568f77bbf803f9d1016041d1e,Slice Labs,https://www.crunchbase.com/organization/slice-labs,Seed,"$3,900,000",03/29/2016,2,
RenewBuy's Angel Round,https://www.crunchbase.com/funding-round/a3c47a02905e1a250271dfaa4e264674,RenewBuy,https://www.crunchbase.com/organization/renewbuy,Angel,"$1,000,000",04/15/2016,1,
UpGuard's Seed Round,https://www.crunchbase.com/funding-round/1155c23c392ca127c266bcf833132b85,UpGuard,https://www.crunchbase.com/organization/scriptrock,Seed,"$45,000",01/01/2012,1,
Dynamis Software's Debt Financing,https://www.crunchbase.com/funding-round/deb33ad18cc2b7a1e6bae68b39f2988a,Dynamis Software,https://www.crunchbase.com/organization/dynamis-software,Debt Financing,"$1,540,000",02/11/2013,1,
The Zebra's Seed Round,https://www.crunchbase.com/funding-round/9d2b96f2613420839c391f263e8d3b2c,The Zebra,https://www.crunchbase.com/organization/the-zebra,Seed,"$25,000",02/10/2012,1,
Pristine's Seed Round,https://www.crunchbase.com/funding-round/6b5f7d035b389d6d55c87acd25a7bf0a,Pristine,https://www.crunchbase.com/organization/pristine-io,Seed,"$750,000",05/21/2014,1,
Fixt's Seed Round,https://www.crunchbase.com/funding-round/ab5bfd11b09ba0b5703256eaaa77974b,Fixt,https://www.crunchbase.com/organization/peachme,Seed,"$50,000",03/07/2013,2,
Pristine's Series A,https://www.crunchbase.com/funding-round/53086f6d59efd18bf7508a42101cfaba,Pristine,https://www.crunchbase.com/organization/pristine-io,Series A,"$5,400,000",09/29/2014,1,
Dynamis Software's Venture Round,https://www.crunchbase.com/funding-round/73c0a8ca3296af298207c3a14b163161,Dynamis Software,https://www.crunchbase.com/organization/dynamis-software,Series Unknown,"$2,100,000",10/01/2014,1,
Aureus Analytics' Angel Round,https://www.crunchbase.com/funding-round/731b3493037be8dcf7fd45ac385b5dad,Aureus Analytics,https://www.crunchbase.com/organization/aureus-analytics,Angel,"$850,000",11/14/2014,1,
Driveway's Series A,https://www.crunchbase.com/funding-round/e20b1ae2fff38df65dc78fd2a6aea286,Driveway,https://www.crunchbase.com/organization/driveway-software,Series A,"$10,000,000",07/31/2015,1,
RenewBuy's Angel Round,https://www.crunchbase.com/funding-round/f85aee5476e4e9033fb0011a681f273d,RenewBuy,https://www.crunchbase.com/organization/renewbuy,Angel,"$500,000",11/09/2015,1,
Onegini's Series A,https://www.crunchbase.com/funding-round/6d7eedd7c68b5ff867d44c07bd50d50f,Onegini,https://www.crunchbase.com/organization/onegini,Series A,"€1,500,000",11/30/2015,1,
Impact Health's Convertible Note,https://www.crunchbase.com/funding-round/52360d4b41fc970f93719ca3398c1a2e,Impact Health,https://www.crunchbase.com/organization/impact-health,Convertible Note,"$100,000",09/24/2015,2,
Quantifyle's Seed Round,https://www.crunchbase.com/funding-round/5cea29fb771dc3d5af6cd10a00216f07,Quantifyle,https://www.crunchbase.com/organization/quantifyle,Seed,"€15,000",12/08/2015,2,
SPIXII's Grant,https://www.crunchbase.com/funding-round/9a584f748ef287ebf7385d25ba35b3c0,SPIXII,https://www.crunchbase.com/organization/spixii,Grant,"€15,000",04/14/2016,2,
Certrax's Venture Round,https://www.crunchbase.com/funding-round/76c3a9b570bbcd263c2b7e7aaaa5d671,Certrax,https://www.crunchbase.com/organization/certrax,Series Unknown,,04/29/2016,1,
EverythingBenefits' Seed Round,https://www.crunchbase.com/funding-round/b5b64892fd5f2781426ab5d7290cfd0a,EverythingBenefits,https://www.crunchbase.com/organization/everythingbenefits,Seed,"$2,000,000",05/01/2015,,"$6,000,000"
Metromile's Funding Round,https://www.crunchbase.com/funding-round/9d6776bb1389b99983c14e3d5d74b946,Metromile,https://www.crunchbase.com/organization/metromile,Funding Round,"$50,000,000",09/21/2016,1,
Cloud Your Car's Seed Round,https://www.crunchbase.com/funding-round/75dddc20073e8c16a0181892d42af8b4,Cloud Your Car,https://www.crunchbase.com/organization/cloud-your-car,Seed,"$300,000",02/12/2013,1,
PRX Control Solutions' Seed Round,https://www.crunchbase.com/funding-round/1cc6701967916986f6b52d1ac513db65,PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,Seed,"$50,000",03/15/2012,1,
BindHQ's Seed Round,https://www.crunchbase.com/funding-round/4d7a69905818ae9ab1d8a37d03871f7c,BindHQ,https://www.crunchbase.com/organization/bindhq,Seed,"$500,000",01/01/2012,1,"$2,500,000"
Tripcover's Seed Round,https://www.crunchbase.com/funding-round/69feb3162b062e4e0e6a2cac8f3962cd,Tripcover,https://www.crunchbase.com/organization/tripcover,Seed,"$40,000",11/20/2013,1,
PRX Control Solutions' Seed Round,https://www.crunchbase.com/funding-round/423597030d202a3206d356d0564e9f7a,PRX Control Solutions,https://www.crunchbase.com/organization/prx-consulting,Seed,"$80,000",04/08/2014,1,
Simplesurance GmbH's Seed Round,https://www.crunchbase.com/funding-round/293e9114671902affb3ec34aba211851,Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,Seed,,12/10/2012,1,
UpGuard's Seed Round,https://www.crunchbase.com/funding-round/531766ab3619bc3b0b47018193d6e937,UpGuard,https://www.crunchbase.com/organization/scriptrock,Seed,,06/01/2012,1,
Impact Health's Seed Round,https://www.crunchbase.com/funding-round/b407ab488312dbdcf266cb8f7be13dfd,Impact Health,https://www.crunchbase.com/organization/impact-health,Seed,"$1,650,000",10/23/2016,6,
Getsurance's Angel Round,https://www.crunchbase.com/funding-round/e00d48e3b6d9efa25a55cf306b9bbfa2,Getsurance,https://www.crunchbase.com/organization/getsurance,Angel,"€500,000",05/31/2016,2,
Qover's Seed Round,https://www.crunchbase.com/funding-round/abf2e1ec3c25b2b042667f49cb9b1f14,Qover,https://www.crunchbase.com/organization/qover,Seed,,04/19/2016,2,
