Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Reveel App's Angel Round,https://www.crunchbase.com/funding-round/f707b755a5518cb6b6bf0d23e5b792d2,Reveel App,https://www.crunchbase.com/organization/reveelapp,Angel,"$145,000",08/21/2014,6,
Pinnatta's Seed Round,https://www.crunchbase.com/funding-round/ab086e5c7398324b6f33724858456ce2,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Seed,"$450,000",08/01/2011,5,
Enplug's Seed Round,https://www.crunchbase.com/funding-round/0a71ad9427c9ae8ec809b0927e0fa83b,Enplug,https://www.crunchbase.com/organization/enplug,Seed,"$1,200,000",09/21/2012,3,
WalkMe's Series C,https://www.crunchbase.com/funding-round/2723700b96127b422bde0367c66a68b3,WalkMe,https://www.crunchbase.com/organization/walkme,Series C,"$11,000,000",04/01/2014,4,
Oomba's Angel Round,https://www.crunchbase.com/funding-round/fe9886eacd0060a6fba03cccd9e83686,Oomba,https://www.crunchbase.com/organization/oomba,Angel,"$2,500,000",05/22/2014,4,"$26,600,000"
Atheer's Venture Round,https://www.crunchbase.com/funding-round/c812860fc74402e0b64044877d7bb73b,Atheer,https://www.crunchbase.com/organization/atheer,Series Unknown,,07/02/2014,4,
Jovie's Seed Round,https://www.crunchbase.com/funding-round/e421451bf6851ec86edd4877a8e754cc,Jovie,https://www.crunchbase.com/organization/jovie,Seed,"$500,000",08/31/2014,4,
SoloLearn's Seed Round,https://www.crunchbase.com/funding-round/eaeec7c365b60a6c4a448a77110c2bef,SoloLearn,https://www.crunchbase.com/organization/sololearn,Seed,"$100,000",09/26/2014,1,
CirrusMD's Seed Round,https://www.crunchbase.com/funding-round/800aa335839b7f03909c1097f11a1c4f,CirrusMD,https://www.crunchbase.com/organization/cirrusmd,Seed,"$1,503,386",01/14/2015,4,
YouNow's Series B,https://www.crunchbase.com/funding-round/957ca921f5a58fe4511d7e057d5751cb,YouNow,https://www.crunchbase.com/organization/younow,Series B,"$15,000,000",09/05/2015,4,
