Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
HistoWiz's Seed Round,https://www.crunchbase.com/funding-round/8bcee1a82a58c641344ee0bacb801b3b,HistoWiz,https://www.crunchbase.com/organization/histowiz,Seed,"$1,000,000",02/06/2015,1,
Visikol Inc.'s Seed Round,https://www.crunchbase.com/funding-round/e9cca935063f42e4452c28b54ba4b108,Visikol Inc.,https://www.crunchbase.com/organization/visikol,Seed,"$500,000",02/24/2016,1,
HistoWiz's Venture Round,https://www.crunchbase.com/funding-round/36a4bd32be1126cb2df729c0a6401a03,HistoWiz,https://www.crunchbase.com/organization/histowiz,Series Unknown,"$25,000",06/07/2016,1,
Visikol Inc.'s Grant,https://www.crunchbase.com/funding-round/4fb46fcd6a5f591ab74026f5917c4ea6,Visikol Inc.,https://www.crunchbase.com/organization/visikol,Grant,"$225,000",07/07/2016,1,
HistoWiz's Seed Round,https://www.crunchbase.com/funding-round/ee02e9ad658433e82d47b3b1be190631,HistoWiz,https://www.crunchbase.com/organization/histowiz,Seed,"$120,000",11/01/2015,1,
HistoWiz's Convertible Note,https://www.crunchbase.com/funding-round/0d0c4562faa31e66c6ef586aaeedc247,HistoWiz,https://www.crunchbase.com/organization/histowiz,Convertible Note,"$250,000",12/29/2013,,
