Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Mizzen+Main's Seed Round,https://www.crunchbase.com/funding-round/f2dc47ec7b20c28ee5851e9f41f140a7,Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,Seed,"$100,000",06/16/2014,1,
TUKZ Undergarments' Equity Crowdfunding,https://www.crunchbase.com/funding-round/9fcc76ced63ae5da1f93f0a093707e9f,TUKZ Undergarments,https://www.crunchbase.com/organization/tukz-undergarments,Equity Crowdfunding,,01/09/2014,,
Front Up's Equity Crowdfunding,https://www.crunchbase.com/funding-round/09b0c732f68b34da8d8a2c51c3d40238,Front Up,https://www.crunchbase.com/organization/front-up,Equity Crowdfunding,"£121,480",09/01/2013,1,
East End Manufacturing's Equity Crowdfunding,https://www.crunchbase.com/funding-round/cc203ca7fe122c1e8c4931660e65cdbc,East End Manufacturing,https://www.crunchbase.com/organization/east-end-manufacturing,Equity Crowdfunding,"£249,900",01/01/2014,1,
Collar Club's Seed Round,https://www.crunchbase.com/funding-round/5de2baa4ca1f92aefd93941ac0867b88,Collar Club,https://www.crunchbase.com/organization/collar-club,Seed,"$450,000",02/04/2015,,
Marco Bellini's Equity Crowdfunding,https://www.crunchbase.com/funding-round/20b72f388c66707d0468cf4f8b0b8fe1,Marco Bellini,https://www.crunchbase.com/organization/marco-bellini,Equity Crowdfunding,,12/27/2014,,
Ungalli's Seed Round,https://www.crunchbase.com/funding-round/2f34c6f1064e10b62ac5719d4f28458b,Ungalli,https://www.crunchbase.com/organization/ungalli,Seed,"$15,000",01/01/2014,1,
Booster's Private Equity Round,https://www.crunchbase.com/funding-round/8eb9ee12382fc25cc74ab29379677beb,Booster,https://www.crunchbase.com/organization/booster,Private Equity,,08/01/2013,1,
FanTees' Seed Round,https://www.crunchbase.com/funding-round/6a0a37f56839f804360830aae98490a4,FanTees,https://www.crunchbase.com/organization/fantees,Seed,"$320,000",08/01/2015,1,"$1,898,087"
SON OF A TAILOR's Seed Round,https://www.crunchbase.com/funding-round/3122e04940f136d9b45ba6b5eda4115f,SON OF A TAILOR,https://www.crunchbase.com/organization/son-of-a-tailor,Seed,"$300,000",12/01/2014,1,
Stripes' Venture Round,https://www.crunchbase.com/funding-round/35e86e33cc7a00179a5875e9c16365bd,Stripes,https://www.crunchbase.com/organization/stripes,Series Unknown,"$4,300,000",11/23/2015,,
Spin Ink LTD's Equity Crowdfunding,https://www.crunchbase.com/funding-round/8f37f3d3f4ffc7643fc61e1f5bf72095,Spin Ink LTD,https://www.crunchbase.com/organization/spin-ink-ltd,Equity Crowdfunding,,09/30/2011,,
Moxxly's Convertible Note,https://www.crunchbase.com/funding-round/0f5252b4851d67e6eed02341413ba8ea,Moxxly,https://www.crunchbase.com/organization/moxxly-inc-,Convertible Note,,09/02/2015,1,
Switch Embassy's Convertible Note,https://www.crunchbase.com/funding-round/11adb9673746d9ab644b72f0517eb98b,Switch Embassy,https://www.crunchbase.com/organization/switch-embassy,Convertible Note,,03/14/2014,1,
Broadcast Wear's Seed Round,https://www.crunchbase.com/funding-round/dae9bd6d73cd5b9046101f48860bbd39,Broadcast Wear,https://www.crunchbase.com/organization/broadcast-wear,Seed,"$120,000",06/27/2016,,
Switch Embassy's Non Equity Assistance,https://www.crunchbase.com/funding-round/7473a973b4a3328a0e2b604a9801f51b,Switch Embassy,https://www.crunchbase.com/organization/switch-embassy,Non-equity Assistance,,06/01/2015,1,
Mizzen+Main's Venture Round,https://www.crunchbase.com/funding-round/c478874cb9b5cbdb6acb57424ce0e75f,Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,Series Unknown,,09/09/2015,1,
E-Diversify Yourself's Equity Crowdfunding,https://www.crunchbase.com/funding-round/c02494689914f6bc2ad6868b30455c47,E-Diversify Yourself,https://www.crunchbase.com/organization/e-diversify-yourself,Equity Crowdfunding,"$1,500",09/03/2014,,
Toxic Attire's Equity Crowdfunding,https://www.crunchbase.com/funding-round/1debc3f05882df53516b47ac9c0650a8,Toxic Attire,https://www.crunchbase.com/organization/toxic-attire,Equity Crowdfunding,,07/15/2014,,
The Manly Man Can's Convertible Note,https://www.crunchbase.com/funding-round/e51c31a0f8d3b434148780f3531d0489,The Manly Man Can,https://www.crunchbase.com/organization/the-manly-man-can,Convertible Note,"$30,000",10/27/2014,,
Snaptee's Seed Round,https://www.crunchbase.com/funding-round/e27265c1282199a2045d13b477d6482e,Snaptee,https://www.crunchbase.com/organization/snapteeapp,Seed,"$600,000",02/13/2014,,
Mizzen+Main's Seed Round,https://www.crunchbase.com/funding-round/e189e0500fe1c155e031be445b3631c3,Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,Seed,"$250,000",11/01/2013,,
Brandleton and Charm's Seed Round,https://www.crunchbase.com/funding-round/988408148b2a944bf06941f7636d7241,Brandleton and Charm,https://www.crunchbase.com/organization/brandleton-and-charm,Seed,"$5,000",05/20/2015,,
Esquire Shirts Co.'s Seed Round,https://www.crunchbase.com/funding-round/21142b3a3de4647c0a148f6dbf334bb1,Esquire Shirts Co.,https://www.crunchbase.com/organization/esquire-shirts-co,Seed,"$250,000",01/01/2013,,
Hey Gorgeous' Seed Round,https://www.crunchbase.com/funding-round/62fa508a297b3dd70f614720c9366425,Hey Gorgeous,https://www.crunchbase.com/organization/hey-gorgeous,Seed,"$950,000",02/01/2014,,
Hey Gorgeous' Seed Round,https://www.crunchbase.com/funding-round/8fdf6cdcffe2c740fdd354d52a29c0a9,Hey Gorgeous,https://www.crunchbase.com/organization/hey-gorgeous,Seed,"$550,000",12/01/2013,,
